1.00E-09,1.28E-07
1.26E-09,4.64E-08
1.58E-09,5.33E-08
2.00E-09,8.22E-08
2.51E-09,3.25E-07
3.16E-09,1.96E-07
3.98E-09,5.10E-07
5.01E-09,7.98E-07
6.31E-09,1.19E-06
7.64E-09,1.70E-06
1.00E-08,3.13E-06
1.26E-08,4.06E-06
1.58E-08,5.74E-06
2.00E-08,8.14E-06
2.51E-08,1.02E-05
3.16E-08,1.38E-05
3.98E-08,1.63E-05
5.01E-08,1.80E-05
6.31E-08,1.90E-05
7.64E-08,1.48E-05
1.00E-07,1.76E-05
1.26E-07,1.04E-05
1.58E-07,7.16E-06
2.00E-07,4.54E-06
2.51E-07,3.23E-06
3.16E-07,2.64E-06
3.98E-07,2.26E-06
5.01E-07,2.32E-06
6.31E-07,2.22E-06
7.64E-07,1.61E-06
1.00E-06,2.55E-06
1.26E-06,1.97E-06
1.58E-06,1.79E-06
2.00E-06,2.11E-06
2.51E-06,2.05E-06
3.16E-06,1.96E-06
3.98E-06,1.99E-06
5.01E-06,2.04E-06
6.31E-06,1.95E-06
7.64E-06,1.49E-06
1.00E-05,2.45E-06
1.26E-05,2.06E-06
1.58E-05,1.95E-06
2.00E-05,2.23E-06
2.51E-05,1.93E-06
3.16E-05,1.90E-06
3.98E-05,1.76E-06
5.01E-05,1.96E-06
6.31E-05,1.89E-06
7.64E-05,1.99E-06
1.00E-04,2.35E-06
1.26E-04,1.86E-06
1.58E-04,1.80E-06
2.00E-04,2.18E-06
2.51E-04,1.72E-06
3.16E-04,1.92E-06
3.98E-04,1.93E-06
5.01E-04,1.78E-06
6.31E-04,1.83E-06
7.64E-04,1.38E-06
1.00E-03,2.17E-06
1.26E-03,1.71E-06
1.58E-03,1.91E-06
2.00E-03,2.03E-06
2.51E-03,1.82E-06
3.16E-03,2.15E-06
3.98E-03,1.97E-06
5.01E-03,2.33E-06
6.31E-03,2.42E-06
7.64E-03,1.75E-06
1.00E-02,2.44E-06
1.26E-02,2.58E-06
1.58E-02,2.17E-06
2.00E-02,2.16E-06
2.51E-02,2.38E-06
3.16E-02,2.44E-06
3.98E-02,2.20E-06
5.01E-02,2.33E-06
6.31E-02,2.78E-06
7.64E-02,2.30E-06
1.00E-01,3.86E-06
1.26E-01,2.68E-06
1.58E-01,3.76E-06
2.00E-01,4.30E-06
2.51E-01,3.76E-06
3.16E-01,3.76E-06
3.98E-01,5.38E-06
5.01E-01,5.09E-06
6.31E-01,5.27E-06
7.64E-01,5.51E-06
1.00E+00,8.53E-06
1.26E+00,7.85E-06
1.58E+00,7.68E-06
2.00E+00,6.36E-06
2.51E+00,8.51E-06
3.16E+00,6.36E-06
3.98E+00,4.60E-06
5.01E+00,2.85E-06
6.31E+00,1.87E-06
7.64E+00,4.16E-07
1.00E+01,2.86E-07
1.26E+01,0.00E+00
1.58E+01,6.85E-08
2.00E+01,0.00E+00
2.51E+01,0.00E+00
3.16E+01,0.00E+00
3.98E+01,0.00E+00
5.01E+01,0.00E+00
6.31E+01,0.00E+00
7.64E+01,0.00E+00
